"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.85618587599548e-35,2.9175026888769,0.489,0.083,4.30792249059559e-31,"6","LOC138241758"
1.1867128380017e-32,2.38977309860466,0.66,0.176,1.05273295859131e-28,"6","LOC102699018"
3.96836661965912e-32,3.36644059477404,0.298,0.03,3.5203380282996e-28,"6","LOC138238037"
5.79848966698536e-31,3.57211562116555,0.255,0.022,5.14384018358271e-27,"6","slc6a6b"
2.24397790666442e-30,3.63322713546894,0.255,0.023,1.99063280100201e-26,"6","nt5c2b"
1.08023275110529e-29,3.5457642942186,0.255,0.023,9.58274473505505e-26,"6","tbx15"
7.19072196524478e-29,3.36192511365155,0.255,0.024,6.37888945536865e-25,"6","slit2"
4.34754610965982e-28,3.18844229279604,0.309,0.039,3.85670815387923e-24,"6","LOC102697252"
1.31697615689024e-27,2.82587221341134,0.33,0.045,1.16828954877734e-23,"6","tacc2"
9.18935563559439e-26,2.27333119038256,0.511,0.121,8.15187738433578e-22,"6","lama2"
9.71972499963124e-23,2.11143318826174,0.543,0.157,8.62236804717287e-19,"6","mef2cb"
2.49964509972054e-20,1.63683838902132,0.691,0.281,2.21743516796209e-16,"6","pleca"
5.81885827008997e-19,1.42732283692106,0.787,0.355,5.16190917139681e-15,"6","dmd"
6.41731327105298e-19,2.24090971269018,0.351,0.075,5.6927986027511e-15,"6","obsl1a"
1.23048232426057e-17,2.15410488515291,0.383,0.095,1.09156086985155e-13,"6","casq2"
2.47275251870163e-17,2.32706635643989,0.362,0.088,2.19357875934021e-13,"6","LOC102686973"
1.14797091622235e-16,2.2565065677412,0.298,0.062,1.01836499978084e-12,"6","frem3"
2.09623013604592e-16,2.27743558871529,0.319,0.071,1.85956575368634e-12,"6","LOC102690192"
4.33135958285496e-16,2.1665275163676,0.426,0.128,3.84234908595063e-12,"6","mef2aa"
7.80889484474302e-16,2.40363921272829,0.255,0.048,6.92727061677153e-12,"6","sema4d"
8.29594179204868e-16,1.90355157723321,0.468,0.154,7.35932996372638e-12,"6","casz1"
4.79960158799478e-15,1.6585774680137,0.511,0.184,4.25772656871017e-11,"6","kcnma1a"
1.03869053863046e-13,1.98937094569421,0.33,0.089,9.21422376819083e-10,"6","qkia"
1.68665593523958e-13,1.26963400172681,0.67,0.311,1.49623248015103e-09,"6","obscnb"
8.70976664599087e-13,2.1512725002055,0.255,0.059,7.7264339916585e-09,"6","LOC102699239"
1.93154850166658e-12,2.13399450877367,0.255,0.06,1.71347667582842e-08,"6","nav2a"
2.202369743882e-12,2.0544965884593,0.277,0.07,1.95372219979772e-08,"6","plcb1"
2.33528721430659e-12,2.17379551683164,0.255,0.061,2.07163328781137e-08,"6","pard3aa"
2.92115419193895e-12,2.10004717685033,0.255,0.061,2.59135588366905e-08,"6","LOC102686232"
6.68848521432706e-12,1.71734775663317,0.33,0.097,5.93335523362954e-08,"6","LOC102694165"
2.04670980620996e-11,1.89176014906779,0.266,0.069,1.81563626908885e-07,"6","flncb"
4.0946948152996e-11,1.89695531147282,0.266,0.071,3.63240377065227e-07,"6","mypn"
8.54573469435401e-11,1.9856526574481,0.277,0.079,7.58092124736145e-07,"6","LOC102693395"
2.3734373058565e-09,1.35731920480549,0.394,0.154,2.1054762340253e-05,"6","myom1b"
6.60853686820848e-08,1.22423097154355,0.404,0.178,0.000586243305578774,"6","fhod3a"
6.90528798751995e-08,1.40266078268679,0.319,0.122,0.000612568097372895,"6","hspg2"
8.35156731510094e-08,0.947955793876726,0.5,0.244,0.000740867536522605,"6","cdh13"
7.06616373036588e-07,1.32337187288215,0.298,0.119,0.00626839384520757,"6","LOC107075888"
9.09371824704425e-07,1.51467052511703,0.255,0.095,0.00806703745695295,"6","roraa"
3.95892728757749e-06,1.34400320565428,0.266,0.107,0.0351196439680999,"6","col22a1"
8.41757479405282e-06,1.24090971269018,0.277,0.117,0.0746723059980426,"6","msi2b"
0.000141558252197488,1.05143191382647,0.33,0.177,1,"6","srsf11"
0.000607223683890504,0.748428127985987,0.319,0.175,1,"6","xirp2b"
0.00113987577613037,0.56227082189884,0.436,0.271,1,"6","LOC138223327"
1.53643700731204e-144,4.65607504835405,0.989,0.079,1.36297326918651e-140,"7","LOC102698536"
2.04739206573312e-33,2.40085671208269,0.696,0.191,1.81624150151185e-29,"7","pdlim7"
7.82807689077908e-27,2.27409956979675,0.435,0.081,6.94428700981012e-23,"7","robo2"
8.62109480631893e-23,2.08944325903295,0.587,0.178,7.64777320268552e-19,"7","cop1"
2.35122257586284e-19,1.34277242509912,0.837,0.38,2.08576954704792e-15,"7","LOC102685697"
5.96273198324703e-19,1.09363928682938,0.924,0.616,5.28953954233844e-15,"7","myl1"
6.90526554979438e-18,1.09839618603088,0.935,0.592,6.12566106922259e-14,"7","ckma"
1.83020157635585e-17,1.29035546055467,0.859,0.506,1.62357181838528e-13,"7","LOC102697246"
1.04902589399223e-16,1.0961742510003,0.924,0.625,9.30590870560509e-13,"7","LOC102684028"
1.91115746284735e-16,1.12428403558946,0.924,0.587,1.69538778529188e-12,"7","actc1a"
4.5745079942557e-16,1.26052116329621,0.804,0.41,4.05804604170423e-12,"7","LOC102686858"
9.21129118011261e-16,1.02595198236282,0.891,0.557,8.1713364058779e-12,"7","LOC138238244"
1.38635759423024e-14,1.09892562808076,0.88,0.601,1.22983782184164e-10,"7","LOC102692297"
1.64602762454943e-14,1.46626430978202,0.707,0.38,1.4601911057378e-10,"7","LOC138238231"
1.0335472279534e-13,1.38185575015263,0.62,0.273,9.16859745917464e-10,"7","actc2"
3.15739559883411e-13,0.951758745671585,0.87,0.582,2.80092563572574e-09,"7","LOC102692097"
1.04478586759782e-11,0.955705328582945,0.826,0.514,9.26829543146026e-08,"7","tpm1"
2.55858900180269e-11,1.00108107539033,0.761,0.458,2.26972430349917e-07,"7","LOC102696099"
5.53505649001459e-11,0.616899390033997,0.978,0.889,4.91014861229194e-07,"7","LOC102682520"
2.80184611746322e-10,1.52738599907898,0.457,0.193,2.48551769080162e-06,"7","LOC102694151"
4.68171598540987e-10,1.15052488467821,0.598,0.298,4.15315025065709e-06,"7","ybx1"
8.10018659221027e-10,0.646597524111066,0.989,0.712,7.18567552594973e-06,"7","LOC102685487"
7.03155025939802e-08,0.709930829375142,0.783,0.478,0.000623768823511198,"7","casq1b"
8.41412317856286e-08,1.10298765340399,0.435,0.196,0.000746416867170312,"7","klhl31"
1.8671349910447e-07,0.606819721434895,0.88,0.588,0.00165633545055575,"7","LOC102698088"
4.3672400099817e-07,1.28874634576115,0.326,0.132,0.00387417861285477,"7","pmp22b"
2.34155188932262e-06,0.900011698697168,0.522,0.294,0.0207719068101809,"7","mybpha"
3.59517714383912e-06,1.22347349672678,0.283,0.115,0.0318928164429968,"7","LOC102687513"
7.02210307599306e-06,1.40386744476708,0.272,0.114,0.0622930763871344,"7","gapdh"
1.20751390617693e-05,1.1028719090868,0.348,0.168,0.107118558616956,"7","LOC138235465"
1.70213978699535e-05,0.379533651656745,1,0.952,0.150996820504358,"7","ttn.2"
3.39971184108615e-05,1.1548006414244,0.283,0.128,0.301588437422752,"7","rpl3"
3.939584800289e-05,1.13527186509943,0.304,0.144,0.349480567633637,"7","ppdpfb"
4.66127460642892e-05,0.469650378914554,0.902,0.64,0.41350167033631,"7","neb"
6.43250283500311e-05,1.12725818146748,0.337,0.174,0.570627326493126,"7","xirp2b"
0.000102552983521267,1.1220964763517,0.272,0.127,0.909747516817158,"7","LOC102698822"
0.000124936192940619,1.27409956979675,0.261,0.124,1,"7","tmod4"
0.000198513171022659,1.08327722746117,0.293,0.146,1,"7","klhl43"
0.000416141146118264,0.788672742626506,0.391,0.229,1,"7","ank1a"
0.000458894770791851,0.798941078080333,0.413,0.245,1,"7","trdn"
0.00111581444341366,0.622685419745754,0.489,0.334,1,"7","unm-hu7910"
0.00198562892418991,0.8518665691137,0.261,0.14,1,"7","LOC102682355"
0.00341602150694862,0.571485480421318,0.446,0.296,1,"7","ryr1b"
0.00400213210721205,0.636669649181455,0.37,0.234,1,"7","jph1a"
0.00734689343637952,0.781617985092555,0.283,0.172,1,"7","LOC138224484"
1.33813270021325e-113,7.06506345629377,0.619,0.006,1.18705751835918e-109,"8","pkhd1l1.1"
5.81708066490598e-89,6.22552812848702,0.619,0.011,5.1603322578381e-85,"8","dnah9"
6.64124572593755e-75,6.65002595701493,0.429,0.005,5.8914490834792e-71,"8","erich3"
9.64883250719917e-75,6.38699155118114,0.429,0.005,8.55947931713638e-71,"8","LOC102691875"
3.22163067414706e-71,5.81352468929781,0.619,0.016,2.85790857103586e-67,"8","cfap299"
3.26590889872783e-63,6.52449507493107,0.381,0.005,2.89718778406146e-59,"8","LOC102683494"
1.23108727804711e-59,6.87241837835138,0.286,0.002,1.09209752435559e-55,"8","iqca1"
3.27294078683866e-41,6.06506345629377,0.286,0.005,2.90342577200457e-37,"8","adgb"
3.93640003027361e-39,5.2995287099308,0.381,0.011,3.49198046685572e-35,"8","LOC102686846"
1.77876227559023e-38,5.6289643414871,0.429,0.016,1.57794001467609e-34,"8","ccdc197"
4.81721016844534e-36,5.25770853423617,0.333,0.009,4.27334714042786e-32,"8","dnah5l"
2.74281345703495e-34,5.15817286068526,0.333,0.01,2.4331498177357e-30,"8","LOC102694899"
1.08245315698496e-32,5.06506345629377,0.333,0.011,9.60244195561355e-29,"8","dync2h1"
6.03426913260741e-25,4.45625421361825,0.524,0.043,5.35300014753603e-21,"8","LOC102698598"
3.20324351725521e-23,4.48010095557262,0.381,0.023,2.8415973241571e-19,"8","stard9"
5.9785106543296e-23,4.42120726651905,0.333,0.017,5.30353680145579e-19,"8","spag17"
1.91604511630175e-21,4.2070824611662,0.333,0.018,1.69972362267128e-17,"8","prickle2b"
3.1805755900239e-20,4.2070824611662,0.333,0.02,2.8214886059102e-16,"8","nek1"
4.22284508495704e-18,4.22856218857665,0.286,0.016,3.74608587486539e-14,"8","c6h8orf34"
1.68235125635546e-17,4.22856218857665,0.286,0.017,1.49241379951293e-13,"8","pcm1"
1.89674917947122e-13,4.27656756148749,0.286,0.023,1.68260619710892e-09,"8","LOC102688582"
5.8549155028001e-13,3.74313536140641,0.286,0.024,5.19389554253397e-09,"8","LOC107075678"
8.72729947355623e-11,3.63879870159168,0.286,0.03,7.74198736299173e-07,"8","ahi1"
1.07078515895772e-09,3.32090236072337,0.333,0.046,9.4989351451139e-06,"8","magi1b"
3.501296359487e-05,2.01195211983421,0.381,0.102,0.310600000050092,"8","LOC102686973"
4.46855603602973e-05,2.36462373815268,0.286,0.063,0.396405605956198,"8","chd2"
9.32046520620729e-05,1.98977532898954,0.286,0.065,0.826818468442649,"8","pde4d"
0.000694373996510244,1.94168104078849,0.286,0.079,1,"8","nav3"
1.51465410643642e-148,7.540724915301,1,0.007,1.34364965781974e-144,"9","LOC102689644"
5.61999810540733e-118,8.03668240996341,0.889,0.008,4.98550031930684e-114,"9","LOC102685466"
6.75221660237053e-105,9.2997168157972,0.333,0,5.9898913479629e-101,"9","LOC102691822"
6.25627046842426e-89,6.2997168157972,0.889,0.012,5.54993753253916e-85,"9","tpm4a"
5.20457112663922e-70,7.20018114224629,0.667,0.008,4.61697504644166e-66,"9","LOC102695483"
4.21850936762646e-25,5.01960889660447,0.556,0.021,3.74223966002143e-21,"9","LOC102683036"
3.63051435722146e-22,4.90739939301844,0.556,0.025,3.22062928629115e-18,"9","myl4"
3.53071277749505e-20,5.4923618937396,0.333,0.009,3.13209530491586e-16,"9","pdgfc"
3.53071277749505e-20,5.4923618937396,0.333,0.009,3.13209530491586e-16,"9","itga9"
3.53071277749505e-20,5.4923618937396,0.333,0.009,3.13209530491586e-16,"9","fam171a2a"
4.49132446220895e-20,4.5045366076857,0.889,0.077,3.98425393042556e-16,"9","flncb"
1.08790800561286e-17,3.97778872090984,0.556,0.031,9.65083191779167e-14,"9","LOC102686563"
2.35270159567618e-15,4.53418206943423,0.444,0.023,2.08708158552434e-11,"9","LOC102686003"
3.92770823130477e-11,3.94921956871307,0.444,0.033,3.48426997199046e-07,"9","LOC107077650"
3.99805099914645e-11,4.24082312674363,0.444,0.034,3.54667104134281e-07,"9","abcc9"
3.43399363469157e-09,4.21225397454686,0.333,0.023,3.04629575333489e-05,"9","LOC102684406"
5.96249407237569e-09,4.17043379885224,0.333,0.024,5.28932849160448e-05,"9","LOC102685566"
7.09316787052518e-09,3.59927709765611,0.444,0.042,6.29234921794288e-05,"9","tbc1d1"
3.98105064037878e-07,3.31786416250746,0.444,0.054,0.00353159002308002,"9","LOC102688616"
1.88470094129491e-06,3.65586062602248,0.333,0.035,0.0167191820502271,"9","adipoqa"
3.04576115903609e-06,3.2997168157972,0.556,0.107,0.0270189472418092,"9","LOC138241758"
3.13818001458302e-06,4.07732439446076,0.333,0.037,0.027838794909366,"9","tbx15"
3.519967271893e-06,2.88790321739265,0.556,0.097,0.0312256296689628,"9","fbxw7"
4.08349139817073e-06,3.31482370818741,0.444,0.065,0.0362246521931726,"9","lrrfip2"
4.49051554911228e-06,3.32243689229729,0.333,0.037,0.039835363436175,"9","ebf1a"
4.5925946295835e-06,3.08248609957653,0.444,0.063,0.0407409069590352,"9","chd2"
1.55666475838925e-05,3.41707376643536,0.333,0.041,0.13809173071671,"9","rps13"
4.11669309093155e-05,3.23362762533943,0.333,0.044,0.365191844096538,"9","dysf"
4.87292696542346e-05,3.21225397454686,0.333,0.045,0.432277351102715,"9","cdc42bpab"
4.88689114155279e-05,3.5131204539064,0.333,0.047,0.433516113167148,"9","lrrfip1a"
0.00010288709867903,3.14996969629252,0.333,0.049,0.912711452381677,"9","ablim1b"
0.000205158992583504,3.0329302751023,0.333,0.052,1,"9","scrib"
0.000269356426620873,2.52361282772404,0.444,0.09,1,"9","LOC102693395"
0.000282867311714989,2.33888741307788,0.556,0.14,1,"9","sox6"
0.000297749681063544,2.54482931363373,0.444,0.091,1,"9","obsl1a"
0.000356908361002569,2.84028519715991,0.333,0.055,1,"9","LOC102697252"
0.000376691917207521,2.92467738445028,0.333,0.056,1,"9","LOC102682707"
0.000420748430111899,2.90739939301844,0.333,0.056,1,"9","lamb2"
0.000463405284599281,2.90739939301844,0.333,0.057,1,"9","pdzrn3b"
0.000515067532040341,2.8903258796595,0.333,0.058,1,"9","LOC102691221"
0.000840023423411205,2.97778872090984,0.333,0.063,1,"9","si:ch211-285f17.1"
0.000844188738292058,2.80786371946753,0.333,0.061,1,"9","luc7l3"
0.000849385589711636,2.14528815067806,0.667,0.258,1,"9","cdh13"
0.000880908343495118,2.72986120746626,0.333,0.061,1,"9","fgfrl1a"
0.00103500937092572,2.71475431507605,0.333,0.063,1,"9","si:ch73-103b11.2"
0.0013284501085673,2.69980397361008,0.333,0.065,1,"9","LOC102690347"
0.00135543165940264,2.67036019571759,0.333,0.065,1,"9","dedd1"
0.0021335856665653,1.85125631498091,0.556,0.164,1,"9","nexn"
0.00225037630555515,2.78875489651982,0.333,0.072,1,"9","plxna1a"
0.00234284506556976,2.58547129813108,0.333,0.07,1,"9","LOC102699239"
0.00237429144499676,1.87681107318502,0.667,0.253,1,"9","trdn"
0.00248348441012661,2.81428998862696,0.333,0.073,1,"9","cap2"
0.00289838427778722,2.54482931363373,0.333,0.072,1,"9","clasp1a"
0.00394860702975894,2.40489905248926,0.333,0.075,1,"9","ptprub"
0.00440009608001683,2.38085357852261,0.333,0.076,1,"9","grip1"
0.00443747973025403,2.41707376643536,0.333,0.076,1,"9","plekha5"
0.00622716270856326,1.83664662009656,0.667,0.391,1,"9","ryr3"
0.00635428559271428,2.33393253113512,0.333,0.08,1,"9","nav3"
0.00702306180122992,2.39282622018869,0.333,0.083,1,"9","LOC102695089"
0.00935533958278536,2.26629381425975,0.333,0.086,1,"9","dip2ca"
0.00996884477450121,2.24443438029601,0.333,0.087,1,"9","LOC102684355"
